,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,location_id
35,,Belize,2021-04-01 04:27:05,17.1899,-88.4976,12456,317,12090.0,49.0,Belize,3132.6313248042734,2.5449582530507384,14
36,,Benin,2021-04-01 04:27:05,9.3077,2.3158,7100,90,6452.0,558.0,Benin,58.56540493688217,1.267605633802817,15
39,,Bosnia and Herzegovina,2021-04-01 04:27:05,43.9159,17.6791,169626,6599,130492.0,32535.0,Bosnia and Herzegovina,5170.239711778933,3.8903234174006345,16
40,,Botswana,2021-04-01 04:27:05,-22.3285,24.6849,39848,568,36958.0,2322.0,Botswana,1694.4878541434114,1.4254165830154588,17
41,Acre,Brazil,2021-04-01 04:27:05,-9.0238,-70.812,69657,1262,54045.0,14350.0,"Acre, Brazil",7898.201114594613,1.811734642605912,18
42,Alagoas,Brazil,2021-04-01 04:27:05,-9.5713,-36.782,153490,3554,144928.0,5008.0,"Alagoas, Brazil",4599.148368004981,2.315460290572676,18
43,Amapa,Brazil,2021-04-01 04:27:05,0.902,-52.003,97542,1302,72132.0,24108.0,"Amapa, Brazil",11533.454490848744,1.3348096204711817,18
44,Amazonas,Brazil,2021-04-01 04:27:05,-3.4168,-65.8561,349123,12015,298476.0,38632.0,"Amazonas, Brazil",8423.569287918705,3.4414805097343915,18
45,Bahia,Brazil,2021-04-01 04:27:05,-12.5797,-41.7007,803664,15330,769689.0,18645.0,"Bahia, Brazil",5403.486463851698,1.9075135877680225,18
46,Ceara,Brazil,2021-04-01 04:27:05,-5.4984,-39.3206,539569,14149,380789.0,143488.0,"Ceara, Brazil",5894.61675644908,2.6052338747280794,18
47,Distrito Federal,Brazil,2021-04-01 04:27:05,-15.7998,-47.8645,344364,6029,321374.0,16961.0,"Distrito Federal, Brazil",11420.676371055575,1.7507637267542484,18
48,Espirito Santo,Brazil,2021-04-01 04:27:05,-19.1834,-40.3089,382480,7500,351496.0,23152.0,"Espirito Santo, Brazil",9509.113757107489,1.960024912466177,18
49,Goias,Brazil,2021-04-01 04:27:05,-15.827,-49.8362,486405,11711,460845.0,11866.0,"Goias, Brazil",6900.60660946997,2.3947521107392182,18
50,Maranhao,Brazil,2021-04-01 04:27:05,-4.9609,-45.2744,242401,6070,220903.0,15428.0,"Maranhao, Brazil",3426.0748947624097,2.50411508203349,18
51,Mato Grosso,Brazil,2021-04-01 04:27:05,-12.6819,-56.9211,310337,7675,284856.0,16148.0,"Mato Grosso, Brazil",8854.900578740042,2.444368100704595,18
52,Mato Grosso do Sul,Brazil,2021-04-01 04:27:05,-20.7722,-54.7852,217457,4334,194999.0,16322.0,"Mato Grosso do Sul, Brazil",7758.153513547747,1.9837846362211151,18
53,Minas Gerais,Brazil,2021-04-01 04:27:05,-18.5122,-44.555,1123913,24332,1005681.0,93900.0,"Minas Gerais, Brazil",5309.292344565167,2.164936253962718,18
54,Para,Brazil,2021-04-01 04:27:05,-1.9981,-54.9306,420372,10503,390166.0,16931.0,"Para, Brazil",4853.301777954205,2.497107943753997,18
55,Paraiba,Brazil,2021-04-01 04:27:05,-7.24,-36.782,259173,5744,183369.0,70060.0,"Paraiba, Brazil",6450.094782967288,2.216280245241596,18
56,Parana,Brazil,2021-04-01 04:27:05,-25.2521,-52.0215,846105,16717,589955.0,239433.0,"Parana, Brazil",7399.931624720995,1.9757595097535177,18
57,Pernambuco,Brazil,2021-04-01 04:27:05,-8.8137,-36.9541,349231,12175,293723.0,43333.0,"Pernambuco, Brazil",3654.1634984191287,3.4862311764992224,18
58,Piaui,Brazil,2021-04-01 04:27:05,-7.7183,-42.7289,206631,4141,201169.0,0.0,"Piaui, Brazil",6263.085328331949,2.00190239262457,18
59,Rio Grande do Norte,Brazil,2021-04-01 04:27:05,-5.4026,-36.9541,197809,4548,142776.0,48978.0,"Rio Grande do Norte, Brazil",5596.499197428578,2.296431792358135,18
60,Rio Grande do Sul,Brazil,2021-04-01 04:27:05,-30.0346,-51.2177,845380,19736,801198.0,24446.0,"Rio Grande do Sul, Brazil",7430.44951415717,2.334571435330857,18
62,Rondonia,Brazil,2021-04-01 04:27:05,-11.5057,-63.5806,187270,4143,164607.0,18520.0,"Rondonia, Brazil",10537.21391495168,2.21231377155978,18
63,Roraima,Brazil,2021-04-01 04:27:05,-2.7376,-62.0751,89853,1346,84118.0,4066.0,"Roraima, Brazil",14778.930964522311,1.4979056129572743,18
64,Santa Catarina,Brazil,2021-04-01 04:27:05,-27.2423,-50.2189,806929,10885,769659.0,26385.0,"Santa Catarina, Brazil",11262.426745913486,1.3489414806011433,18
65,Sao Paulo,Brazil,2021-04-01 04:27:05,-23.5505,-46.6333,2469849,74652,2120478.0,274719.0,"Sao Paulo, Brazil",5378.702420426869,3.022532956468189,18
66,Sergipe,Brazil,2021-04-01 04:27:05,-10.5741,-37.3857,174600,3501,158658.0,12441.0,"Sergipe, Brazil",7595.610728865409,2.0051546391752577,18
67,Tocantins,Brazil,2021-04-01 04:27:05,-10.1753,-48.2982,141913,2057,121515.0,17428.0,"Tocantins, Brazil",8962.937720060068,1.4413903174321687,18
69,,Bulgaria,2021-04-01 04:27:05,42.7339,25.4858,342633,13197,259561.0,69875.0,Bulgaria,4931.074506598239,3.851643011618846,19
