,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.8752370357513428,0.006866145917436038,0.07580075263977051,0.0011655435679489726,entropy,1,150,"{'criterion': 'entropy', 'max_features': 1, 'n_estimators': 150}",0.8273972111394604,0.8199686927764812,0.812925182877747,0.8043935724236358,0.8045707305897988,0.8138510779614245,0.008914588887254514,7
19,1.1615578651428222,0.004741007900476833,0.10031137466430665,0.0012438869252945459,entropy,1,200,"{'criterion': 'entropy', 'max_features': 1, 'n_estimators': 200}",0.8268413659180078,0.8191341731387357,0.8126804061985786,0.8045734318207165,0.8056345664629735,0.8137727887078026,0.008385514668808538,16
20,0.313477897644043,0.0024845375463233006,0.02640061378479004,0.0004910146538194151,entropy,2,50,"{'criterion': 'entropy', 'max_features': 2, 'n_estimators': 50}",0.8272075790669055,0.8192200601187963,0.8133232594696116,0.8043840916711377,0.8058138597222834,0.8139897700097469,0.008504413119903256,1
21,0.6239156723022461,0.0045774128357458635,0.05120000839233398,0.0007484302212114684,entropy,2,100,"{'criterion': 'entropy', 'max_features': 2, 'n_estimators': 100}",0.827430820013041,0.8196009658042267,0.8126740165714095,0.8041775871937699,0.8056345664629735,0.8139035912090842,0.008716992308580859,4
22,0.9298810482025146,0.0022809103379763268,0.07540006637573242,0.0004893383071189415,entropy,2,150,"{'criterion': 'entropy', 'max_features': 2, 'n_estimators': 150}",0.827239359166784,0.8196009658042267,0.8126740165714095,0.8043935724236358,0.8045707305897988,0.8136957289111709,0.008822033201623333,22
23,1.2386577129364014,0.005903924895432442,0.10151739120483398,0.0015002739519265342,entropy,2,200,"{'criterion': 'entropy', 'max_features': 2, 'n_estimators': 200}",0.8274223598259013,0.8187667217546645,0.8126804061985786,0.8043935724236358,0.8056345664629735,0.8137795253331508,0.008563218916176745,13
24,0.3422368049621582,0.0015731568926037743,0.026601552963256836,0.0008000739261249974,entropy,3,50,"{'criterion': 'entropy', 'max_features': 3, 'n_estimators': 50}",0.8270477888972129,0.8192177678768154,0.8123889837061613,0.8043888920009543,0.8056345664629735,0.8137355997888236,0.008509636985147477,19
25,0.6871992111206054,0.004636181316962176,0.05180125236511231,0.0026381349018507177,entropy,3,100,"{'criterion': 'entropy', 'max_features': 3, 'n_estimators': 100}",0.8274223598259013,0.8196009658042267,0.812918819103417,0.8041824241329608,0.8054256718661118,0.8139100481465235,0.008747147598390681,3
26,1.0277604103088378,0.007003032592640494,0.07560114860534668,0.0014977531150544834,entropy,3,150,"{'criterion': 'entropy', 'max_features': 3, 'n_estimators': 150}",0.8276304184657969,0.8196009658042267,0.812918819103417,0.8042137062475092,0.8045707305897988,0.8137869280421496,0.008975341178451942,12
27,1.3646241664886474,0.019078256582504595,0.0987999439239502,0.0009798612493984356,entropy,3,200,"{'criterion': 'entropy', 'max_features': 3, 'n_estimators': 200}",0.8274223598259013,0.8187667217546645,0.812918819103417,0.804398423967745,0.8056345664629735,0.8138281782229402,0.008556558404682559,9
28,0.380843448638916,0.0021426610048797855,0.026200580596923827,0.0004007616015392601,entropy,4,50,"{'criterion': 'entropy', 'max_features': 4, 'n_estimators': 50}",0.8268584575907391,0.8192200601187963,0.812200824731574,0.804024258487729,0.805050682262883,0.8134708566383443,0.008649066239737116,27
29,0.7598243236541748,0.0038707833683770216,0.05080180168151856,0.0014697176068005787,entropy,4,100,"{'criterion': 'entropy', 'max_features': 4, 'n_estimators': 100}",0.8274404969578869,0.8196009658042267,0.8119845395308976,0.803817856388406,0.805050682262883,0.81357890818886,0.008932632335852123,24
30,1.1390694618225097,0.010453165819986423,0.07458310127258301,0.0010139518567943676,entropy,4,150,"{'criterion': 'entropy', 'max_features': 4, 'n_estimators': 150}",0.8272573859898591,0.8196009658042267,0.8119845395308976,0.8040338331923418,0.8039842315977804,0.8133721912230211,0.009042793377595813,32
31,1.5211874008178712,0.009444443200299241,0.1004000186920166,0.00300548670647053,entropy,4,200,"{'criterion': 'entropy', 'max_features': 4, 'n_estimators': 200}",0.8272573859898591,0.8187667217546645,0.8119845395308976,0.8040338331923418,0.805050682262883,0.8134186325461291,0.008720858084946256,30
